timestamp,latitude,longitude,height,velocity,direction,horizontal_accuracy,vertical_accuracy
1.006.74,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.012.74,52.38,4.85,-1.06,-1.00,-1.00,65.00,65.00
1.018.74,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.024.75,52.38,4.85,-1.04,-1.00,-1.00,65.00,65.00
1.030.74,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.036.74,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.042.74,52.38,4.85,-1.06,-1.00,-1.00,65.00,65.00
1.048.74,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.054.74,52.38,4.85,-1.17,-1.00,-1.00,65.00,65.00
1.060.75,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.066.74,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.072.74,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.078.74,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.084.81,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
1.090.96,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.091.49,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.097.97,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
1.103.96,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.109.96,52.38,4.85,-1.36,-1.00,-1.00,65.00,65.00
1.115.96,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.121.97,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.127.96,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
1.133.96,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
1.139.96,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.145.96,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
1.151.96,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
1.157.95,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
1.163.96,52.38,4.85,-0.95,-1.00,-1.00,65.00,65.00
1.169.95,52.38,4.85,-1.09,-1.00,-1.00,65.00,65.00
1.175.96,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.181.95,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
1.187.96,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.193.95,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.199.95,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
1.205.95,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
1.211.95,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
1.217.95,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.223.95,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
1.229.95,52.38,4.85,-1.09,-1.00,-1.00,65.00,65.00
1.235.87,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.236.39,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
1.241.95,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
1.246.95,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
1.252.95,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.258.95,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
1.265.03,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
1.271.18,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.271.70,52.38,4.85,-1.17,-1.00,-1.00,65.00,65.00
1.278.18,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.278.70,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
1.284.18,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.290.18,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
1.296.18,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
1.302.17,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
1.308.18,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
1.314.18,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.320.17,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.326.18,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
1.332.17,52.38,4.85,-1.26,-1.00,-1.00,65.00,65.00
1.338.18,52.38,4.85,-1.37,-1.00,-1.00,65.00,65.00
1.344.18,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
1.350.18,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
1.356.18,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
